run,latency_sec,speedup,total_elapsed_sec,aesthetic_quality,background_consistency,dynamic_degree,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency
H2S2,45.16118,1.8620651851878096,9032.236043,0.6178156948089599,0.9938583374023438,0.42105263157894735,0.7003487946260892,0.9790792788617878,0.22396172281354665,0.3333333333333333,0.9769236484395438
H2S4,38.147454,2.204421322586823,7629.490752,0.6222057032585144,0.9942490259806315,0.42105263157894735,0.6986270981773965,0.9781875555304552,0.22139349386096,0.3177083333333333,0.9791077510943931
H2S6,35.734662,2.3532630866915714,7146.932471,0.6176919734477997,0.9938983917236328,0.42105263157894735,0.6954701405921351,0.9781507138233609,0.22205913342535497,0.3333333333333333,0.9794134356718707
H2S8,34.263257,2.4543218702180005,6852.651368,0.616180704832077,0.9933710098266602,0.42105263157894735,0.6930817681415262,0.9772583899385647,0.2213876488804817,0.3020833333333333,0.9801774244069269
H3S2,45.384641,1.852896908449711,9076.928269,0.608241457939148,0.9901126225789388,0.42105263157894735,0.7013851490901065,0.9798450646572011,0.22512246593832969,0.3333333333333333,0.9755341114819442
H3S4,38.514016,2.1834404648946504,7702.803184,0.6112284016609192,0.9843505223592123,0.42105263157894735,0.6982600136624848,0.9780390583568037,0.22354557625949384,0.3333333333333333,0.9761559637753587
H3S6,38.384508,2.190807317368768,7676.901654,0.6031968998908996,0.9917507171630859,0.42105263157894735,0.698639312110314,0.9791817839162716,0.22362138986587524,0.3177083333333333,0.9781722044817319
H3S8,36.522033,2.3025295716697918,7304.406691,0.6126930558681488,0.9913101196289062,0.47368421052631576,0.6933042322012095,0.9753384256184163,0.22248338401317597,0.3020833333333333,0.974842872201024
H4S2,45.640521,1.842508787312047,9128.104132,0.6123869454860688,0.9920307795206705,0.42105263157894735,0.7016931223473182,0.978853563125321,0.22445609338581562,0.3333333333333333,0.973300639637991
H4S4,40.200735,2.0918289429285313,8040.14696,0.6114993631839752,0.9939552942911783,0.42105263157894735,0.700014322674091,0.9788708403280992,0.2221627988666296,0.3177083333333333,0.9765058712249524
H4S6,38.680103,2.174065074232093,7736.020536,0.610256974697113,0.9935042063395182,0.42105263157894735,0.6952344953566332,0.9785660230549735,0.22180949971079827,0.3177083333333333,0.9773411953478659
H4S8,37.479219,2.2437250093178305,7495.843831,0.599102520942688,0.9903189341227213,0.42105263157894735,0.6924158638587364,0.9782403835838924,0.2220860330760479,0.3333333333333333,0.9789684720484442
H5S2,47.432691,1.7728924762038065,9486.538109,0.6140785849094391,0.9936663309733073,0.42105263157894735,0.698797257408729,0.9789936475814434,0.22301095210015773,0.3177083333333333,0.9766021689743196
baseline,84.093061,1.0,16818.612111,0.6143140983581543,0.9931820727263888,0.42105263157894735,0.7015914221660908,0.9797689159983114,0.22721882950514555,0.3333333333333333,0.9750959272496402

