method,config,num_prompts,total_elapsed_sec,average_prompt_time_sec,speedup_vs_baseline,speedup_vs_baseline_total,fid,ssim,lpips,psnr,avg_cosine,clip_set,rel_l1,rmse
Baseline,Baseline,200,4579.831362,22.899157,1.000000,1.000000,,,,,,,,
25steps,25steps,200,2492.693112,12.463466,1.837302,1.837303,66.343343,0.615001,0.405242,14.343549,0.917984,0.288735,0.303791,51.753667
DMD,H2_S1_G0.1,200,2996.870443,14.984352,1.528205,1.528205,9.904321,0.937908,0.042684,28.935099,0.995681,,0.039054,10.627418
DMD,H2_S1_G0.2,200,2751.773228,13.758866,1.664320,1.664320,16.861770,0.899608,0.073856,26.009886,0.990873,,0.060749,15.125299
DMD,H2_S1_G0.3,200,2653.645821,13.268229,1.725864,1.725864,19.268683,0.879272,0.091060,24.809851,0.988230,,0.072424,17.225620
DMD,H2_S1_G0.4,200,2623.873483,13.119367,1.745447,1.745447,20.441210,0.869037,0.100495,24.351509,0.986817,,0.078617,18.181900
DMD,H2_S2_G0.1,200,2475.663633,12.378318,1.849941,1.849941,14.582460,0.918289,0.057570,27.010596,0.993947,,0.049433,12.838597
DMD,H2_S2_G0.2,200,2115.526639,10.577633,2.164866,2.164866,23.024074,0.866919,0.100864,24.008501,0.987514,,0.077776,18.234455
DMD,H2_S2_G0.3,200,1989.657563,9.948288,2.301819,2.301819,26.017008,0.842283,0.122819,22.875013,0.984291,,0.092650,20.583713
DMD,H2_S2_G0.4,200,1917.265003,9.586325,2.388732,2.388732,27.738938,0.823670,0.140184,22.340153,0.982199,,0.101978,21.863236
DMD,H2_S3_G0.1,200,2198.754230,10.993771,2.082921,2.082921,17.482309,0.900290,0.072224,25.815946,0.992384,,0.058801,14.520961
DMD,H2_S3_G0.2,200,1769.160278,8.845801,2.588704,2.588703,26.220611,0.838284,0.126755,22.866761,0.985198,,0.091137,20.338522
DMD,H2_S3_G0.3,200,1635.698054,8.178490,2.799925,2.799925,31.471234,0.808388,0.156100,21.694534,0.980883,,0.110029,23.110236
DMD,H2_S3_G0.4,200,1597.384320,7.986922,2.867082,2.867082,34.170005,0.792801,0.173158,21.211773,0.978530,,0.120148,24.493741
DMD,H2_S4_G0.1,200,2046.921978,10.234610,2.237424,2.237424,19.142051,0.883509,0.087960,24.882055,0.991011,,0.066997,15.952139
DMD,H2_S4_G0.2,200,1598.412379,7.992062,2.865238,2.865238,30.069014,0.820578,0.145669,22.101188,0.982914,,0.101892,22.003562
DMD,H2_S4_G0.3,200,1439.599127,7.197996,3.181324,3.181324,34.776614,0.785402,0.180387,20.937542,0.978139,,0.122843,24.920711
DMD,H2_S4_G0.4,200,1348.233670,6.741168,3.396912,3.396912,37.953330,0.760971,0.209661,20.392341,0.975214,,0.135709,26.580026
DMD,H2_S5_G0.1,200,1943.882544,9.719413,2.356023,2.356023,21.526301,0.864411,0.104757,24.204151,0.989528,,0.075167,17.221983
DMD,H2_S5_G0.2,200,1461.622127,7.308111,3.133389,3.133389,34.117726,0.794673,0.171110,21.479753,0.980764,,0.112128,23.492712
DMD,H2_S5_G0.3,200,1379.859960,6.899300,3.319055,3.319055,38.202119,0.780699,0.189110,20.565891,0.976249,,0.131013,26.018181
DMD,H2_S5_G0.4,200,1316.745340,6.583727,3.478145,3.478145,40.687767,0.762933,0.207574,20.045871,0.973087,,0.144305,27.722982
Taylorseer,n2o1,200,2665.837002,13.329185,1.717971,1.717971,26.568999,0.834963,0.131645,22.737865,0.982310,,0.099384,21.519318
Taylorseer,n3o1,200,1951.779429,9.758897,2.346490,2.346490,39.123013,0.751962,0.217662,19.945997,0.969585,,0.152266,29.032955
Taylorseer,n4o1,200,1683.533795,8.417669,2.720368,2.720368,50.459181,0.709155,0.272988,18.136278,0.954962,,0.202188,35.756347
Taylorseer,n5o1,200,1416.006901,7.080035,3.234328,3.234328,64.441006,0.647869,0.354488,16.418791,0.937373,,0.258208,43.049691
Taylorseer,n6o1,200,1328.512183,6.642561,3.447339,3.447339,72.320235,0.632254,0.387466,15.454706,0.924362,,0.298161,47.960473
Magcache,K5_T0.12_R0.12,200,7585.431191,37.927156,0.603767,0.603767,21.161850,0.870980,0.098649,24.745728,0.988519,,0.076628,17.356374
Magcache,K5_T0.18_R0.12,200,6389.003252,31.945016,0.716830,0.716830,63.700530,0.709163,0.279106,18.435783,0.957403,,0.193660,34.908760
Magcache,K5_T0.24_R0.12,200,2625.400436,13.127002,1.744432,1.744432,102.388177,0.560416,0.460412,14.459628,0.914069,,0.328381,52.602552
Magcache,K5_T0.30_R0.12,200,2441.402191,12.207011,1.875902,1.875902,206.399926,0.141199,0.963130,10.259837,0.835198,,0.555890,79.122889
Teacache,W0_R0.2,200,3148.670384,15.743352,1.454529,1.454529,68.75223011810829,0.5690064700943018,0.4335931086167693,14.33347717499012,,,,
Teacache,W0_R0.4,200,1780.569800,8.902849,2.572116,2.572116,79.92420277209226,0.5183381692790209,0.5128477987274528,13.104621617320026,,,,
Teacache,W0_R0.6,200,1414.254911,7.071275,3.238335,3.238335,89.25886813326872,0.49013412155635633,0.5611823001503944,12.492763657657033,,,,
Teacache,W0_R0.8,200,1141.747761,5.708739,4.011246,4.011246,95.60959143475839,0.47425504564880966,0.5939658702164888,12.112864629995297,,,,
Teacache,W0_R0.9,200,1050.728597,5.253643,4.358720,4.358720,100.33413804964601,0.45974043612048787,0.6179261901974678,11.96573413188546,,,,

