model,Method,VRAM,VRAM_unit
HiDream-I1-full,Baseline,65.52,Gi
HiDream-I1-full,Taylorseer,73.46 76.93 78.89 OOM,Gi
HiDream-I1-full,DMD,65.54,Gi
HiDream-I1-full,Teacache,65.75,Gi
HiDream-I1-full,Magcache,65.52,Gi
FLUX.1-dev,Baseline,36.78,Gi
FLUX.1-dev,Taylorseer,40.97 42.91 44.94 46.94,Gi
FLUX.1-dev,DMD,37.24,Gi
FLUX.1-dev,Teacache,38.82,Gi
FLUX.1-dev,Magcache,36.78,Gi
Wan2.1-t2v-1.3B,Baseline,18435,Mi
Wan2.1-t2v-1.3B,Taylorseer,47014 还没做 还没做 还没做,Mi
Wan2.1-t2v-1.3B,DMD,22522,Mi
Wan2.1-t2v-1.3B,Teacache,18435,Mi
Wan2.1-t2v-1.3B,Magcache,18435,Mi
HuanyuanVideo,Baseline,71.3,Gi
HuanyuanVideo,Taylorseer,94.42,Gi
HuanyuanVideo,DMD,73.5,Gi
HuanyuanVideo,Teacache,72.3,Gi
HuanyuanVideo,Magcache,71.3,Gi
