root,method,run,num_prompts,avg_prompt_sec,total_elapsed_sec,speedup_vs_baseline,same_prompt_file,overall_consistency,scene,subject_consistency,background_consistency,dynamic_degree,motion_smoothness,imaging_quality,aesthetic_quality,vbench_score
/data/czxu/lyb/Exp_results/Wan2.1,DMD,DMD/20260124_232805/H2S2,50,41.314,2065.695,2.022,no,0.224318,0.0,0.961028,0.987456,0.8,0.979586,0.676003,0.622093,0.750069
/data/czxu/lyb/Exp_results/Wan2.1,Taylorseer,Taylorseer/20260125_000732/N6O1I2,50,54.894,2744.683,1.521,no,0.22099,0.0,0.962383,0.989003,0.6,0.979077,0.680431,0.616454,0.721191
/data/czxu/lyb/Exp_results/Wan2.1,Taylorseer,Taylorseer/20260125_000732/N6O1I3,50,42.686,2134.325,1.956,no,0.220823,0.0,0.967865,0.988715,0.6,0.979103,0.68368,0.613073,0.721894
/data/czxu/lyb/Exp_results/Wan2.1,Teacache,Teacache/20260125_004010/r0.2,50,35.837,1791.858,2.33,no,0.223437,0.0,0.960277,0.988955,0.6,0.979558,0.667063,0.611258,0.718650
/data/czxu/lyb/Exp_results/Wan2.1,Teacache,Teacache/20260125_004010/r0.4,50,30.338,1516.903,2.753,no,0.220166,0.0,0.958654,0.986364,0.4,0.979116,0.65045,0.593326,0.684011
/home/yc07445/lyb/Exp_results/Wan2.1,DMD,DMD/20260125_055421/H2S3,50,37.653,1882.659,2.218,no,0.224541,0.0,0.960559,0.988075,0.8,0.979356,0.669068,0.620639,0.748891
/home/yc07445/lyb/Exp_results/Wan2.1,DMD,DMD/20260125_055421/H2S4,50,35.244,1762.212,2.37,no,0.224376,0.0,0.964099,0.989639,0.8,0.978979,0.663644,0.620865,0.748800
/home/yc07445/lyb/Exp_results/Wan2.1,DMD,DMD/20260125_055421/H2S5,50,32.098,1604.896,2.602,no,0.225156,0.0,0.963802,0.990532,0.8,0.978327,0.659227,0.623633,0.748668
/home/yc07445/lyb/Exp_results/Wan2.1,DMD,DMD/20260125_055421/H2S6,50,32.039,1601.925,2.607,no,0.223326,0.0,0.965002,0.988945,0.8,0.978554,0.654955,0.621728,0.747501
/home/yc07445/lyb/Exp_results/Wan2.1,Magcache,Magcache/20260125_064901/threshold0.08,50,39.909,1995.469,2.093,no,0.223896,0.0,0.960173,0.989417,0.6,0.979144,0.665921,0.612,0.718650
/home/yc07445/lyb/Exp_results/Wan2.1,Magcache,Magcache/20260125_064901/threshold0.12,50,37.297,1864.869,2.239,no,0.2235,0.0,0.959863,0.987273,0.6,0.979192,0.663814,0.610135,0.717682
/home/yc07445/lyb/Exp_results/Wan2.1,Teacache,Teacache/20260125_055421/r0.8,50,26.809,1340.458,3.115,no,0.199858,0.0,0.955031,0.982591,0.2,0.977656,0.61279,0.537039,0.637852
/home/yc07445/lyb/Exp_results/Wan2.1,Teacache,Teacache/20260125_055421/r0.9,50,26.325,1316.274,3.172,no,0.186505,0.0,0.957091,0.980584,0.2,0.977625,0.59451,0.521035,0.631050
/data/czxu/lyb/Exp_results/Wan2.1,Baseline,Baseline/20260124_232805/subset_random_n50_seed1234,50,83.516,4175.803,1.0,yes,,,,,,,,,
