run,latency_sec,speedup,quality_score_pct,semantic_score_pct,partial_total_pct,scene
DMD/20260124_232805/H2S2,2065.695,2.022,83.16,51.08,76.75,0.333333
DMD/20260125_055421/H2S3,1882.659,2.218,83.00,51.11,76.62,0.333333
DMD/20260125_055421/H2S4,1762.212,2.37,83.00,51.09,76.62,0.333333
DMD/20260125_055421/H2S5,1604.896,2.602,82.94,51.20,76.59,0.333333
DMD/20260125_055421/H2S6,1601.925,2.607,82.83,50.95,76.45,0.333333
Teacache/20260125_004010/r0.2,1791.858,2.33,81.01,50.96,75.00,0.333333
Teacache/20260125_004010/r0.4,1516.903,2.753,78.43,50.51,72.85,0.333333
Teacache/20260125_055421/r0.8,1340.458,3.115,74.65,47.72,69.26,0.333333
Teacache/20260125_055421/r0.9,1316.274,3.172,74.01,45.89,68.39,0.333333
Taylorseer/20260125_000732/N6O1I2,2744.683,1.521,81.36,50.63,75.21,0.333333
Taylorseer/20260125_000732/N6O1I3,2134.325,1.956,81.47,50.60,75.29,0.333333
Magcache/20260125_064901/threshold0.08,1995.469,2.093,80.98,51.03,74.99,0.333333
Magcache/20260125_064901/threshold0.12,1864.869,2.239,80.85,50.97,74.88,0.333333
Baseline/20260124_232805/subset_random_n50_seed1234,4175.803,1.0,,,,
